look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run,train_time_s
12,64,64,0.3,0.001,16,0.020830185109802377,0.0191809106290903,1.5924643228135675,23,8.7
6,128,64,0.1,0.0005,8,0.020869965844052665,0.017171732527420682,1.3956661932168608,37,15.0
18,64,16,0.3,0.001,8,0.020957920433935618,0.020743689352057042,1.7092418665385696,26,13.8
18,128,16,0.2,0.0005,8,0.020965557081770978,0.018896311998342834,1.5576380174431672,43,23.9
24,128,32,0.1,0.001,16,0.020981177268845148,0.01846169495592765,1.5337989842182451,50,22.7
12,128,32,0.1,0.001,32,0.02122417623969167,0.019435205569257336,1.61360514169426,24,9.4
6,64,64,0.2,0.001,32,0.021276325133448286,0.01739689396220319,1.4135588910871542,40,10.9
18,32,64,0.3,0.001,8,0.021302765469433313,0.0191896824735302,1.578758660601741,29,14.6
12,32,64,0.3,0.001,16,0.021319087133601162,0.020114914796850316,1.6669984174358474,21,7.9
24,32,64,0.3,0.001,8,0.021342624248742895,0.01954395570614428,1.6130347859964527,41,20.7
18,32,32,0.1,0.001,8,0.021434993178198948,0.020338001626987123,1.686068238497175,51,23.0
6,64,16,0.2,0.001,8,0.02151194364260724,0.021148732367309117,1.7359771458019098,24,14.4
12,32,32,0.3,0.0005,16,0.021584900276654145,0.020092273702304413,1.6662582411778888,33,9.9
6,128,16,0.1,0.001,16,0.021734619695023365,0.021512887182425375,1.770008236486887,37,13.3
18,64,64,0.3,0.001,16,0.02180242209475878,0.01764862019764254,1.4762709754872185,19,19.0
6,128,16,0.3,0.001,16,0.021855112290682134,0.021583256161307383,1.7757143726260651,25,9.9
12,128,64,0.3,0.0005,32,0.021860921329321586,0.019207425648246196,1.5985089438787163,26,10.1
18,32,16,0.2,0.001,8,0.022011164539713437,0.021923873284335458,1.8048747929391498,57,22.9
12,64,64,0.1,0.001,16,0.022056722125221438,0.020825121088713268,1.7260106609669552,21,8.4
18,64,64,0.1,0.001,8,0.022056833722249893,0.019367142450959773,1.587044233507022,26,15.3
18,128,64,0.3,0.001,16,0.022118683614950632,0.018366356427192324,1.5335328293104482,17,9.8
6,64,32,0.1,0.0005,32,0.022145851330275627,0.018082652791861394,1.468563456660178,68,12.6
18,128,16,0.3,0.001,8,0.022303313109798998,0.020992107174119107,1.7162170167486914,28,16.9
24,128,32,0.1,0.0005,16,0.02252530508747275,0.020310563455341532,1.6798268128725244,84,33.6
18,128,64,0.3,0.0005,16,0.022542467893335354,0.02013716787203527,1.6698553439165855,45,21.8
24,128,32,0.2,0.001,8,0.02262752200698592,0.02085689671335421,1.7306530435803067,15,11.9
18,128,32,0.1,0.001,8,0.022640321156561383,0.020021685568916734,1.6424198138973563,29,17.4
24,32,64,0.2,0.001,8,0.022672111934148528,0.02065059586493093,1.696185463788362,40,20.3
24,128,32,0.2,0.0005,8,0.02267379509395987,0.020528672965156744,1.692773501827284,38,23.4
6,128,16,0.1,0.0005,32,0.022909353114821864,0.022413544909313146,1.8456865672092742,83,19.0
24,128,32,0.3,0.001,16,0.023091770075907278,0.020764780013788002,1.7206476747440975,47,21.0
12,64,32,0.1,0.0005,16,0.023110627537653777,0.02161822086867574,1.7927780745031172,28,9.2
18,64,64,0.2,0.001,16,0.02314541603085959,0.019179713497294422,1.6017502937336634,19,9.3
18,128,16,0.1,0.0005,16,0.023164320018710993,0.021329733881423618,1.771970172568159,82,30.0
